iso_code,continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations,new_vaccinations,is_country,new_cases_7day_avg,new_deaths_7day_avg,new_vaccinations_7day_avg,cases_14day_total,deaths_14day_total,case_growth_rate,death_growth_rate,vaccination_growth_rate,cases_per_million,deaths_per_million,vaccinations_per_hundred,vaccinated_share,fully_vaccinated_share,booster_share,death_rate,estimated_active_cases,estimated_recoveries,recovery_rate_proxy
AFG,Asia,Afghanistan,2024-08-04,41128772.0,235214.0,0.0,7998.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5718.964816163245,194.4624069981958,0.0,0.0,0.0,0.0,3.400307804807537,0.0,227216.0,96.59969219519246
OWID_AFR,Unknown,Africa,2024-08-04,1426736614.0,13145380.0,36.0,259117.0,0.0,0.0,0.0,0.0,0.0,0.0,False,36.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,9213.599672854543,181.61516110078605,0.0,0.0,0.0,0.0,1.9711640135165358,36.0,12886227.0,98.02856212600929
ALB,Europe,Albania,2024-08-04,2842318.0,335047.0,0.0,3605.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117878.08401452616,1268.330989002638,0.0,0.0,0.0,0.0,1.0759684462179933,0.0,331442.0,98.92403155378202
DZA,Africa,Algeria,2024-08-04,44903228.0,272139.0,18.0,6881.0,0.0,0.0,0.0,0.0,0.0,0.0,True,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,6060.56651428267,153.24065343364623,0.0,0.0,0.0,0.0,2.52848728039715,18.0,265240.0,97.46489845262899
ASM,Oceania,American Samoa,2024-08-04,44295.0,8359.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188712.04424878655,767.5809910825149,0.0,0.0,0.0,0.0,0.40674721856681423,0.0,8325.0,99.59325278143318
AND,Europe,Andorra,2024-08-04,79843.0,48015.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601367.6840800069,1991.4081384717506,0.0,0.0,0.0,0.0,0.331146516713527,0.0,47856.0,99.66885348328647
AGO,Africa,Angola,2024-08-04,35588996.0,107481.0,0.0,1937.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3020.06271826269,54.42693578655605,0.0,0.0,0.0,0.0,1.8021789897749372,0.0,105544.0,98.19782101022506
AIA,North America,Anguilla,2024-08-04,15877.0,3904.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245890.28153933364,755.8102916168042,0.0,0.0,0.0,0.0,0.3073770491803279,0.0,3892.0,99.69262295081968
ATG,North America,Antigua and Barbuda,2024-08-04,93772.0,9106.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97107.87868446871,1556.967964850915,0.0,0.0,0.0,0.0,1.6033384581594552,0.0,8960.0,98.39666154184054
ARG,South America,Argentina,2024-08-04,45510324.0,10101218.0,54.0,130663.0,1.0,0.0,0.0,0.0,0.0,0.0,True,54.0,1.0,0.0,54.0,1.0,0.0,0.0,0.0,221954.4295048306,2871.0628384012384,0.0,0.0,0.0,0.0,1.2935370764198932,54.0,9970501.0,98.70592833458302
ARM,Asia,Armenia,2024-08-04,2780472.0,452273.0,0.0,8777.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162660.51231589456,3156.6582939874957,0.0,0.0,0.0,0.0,1.9406420458439926,0.0,443496.0,98.05935795415601
