,total_cases,new_cases_7day_avg,total_deaths,new_deaths_7day_avg,death_rate,cases_per_million,deaths_per_million,vaccinated_share,fully_vaccinated_share,booster_share,recovery_rate_proxy
total_cases,1.0,-0.2399426289113843,0.3051211905783401,0.6485972042165308,-0.5245822466641832,-0.1535999265344633,-0.2535962545726174,-0.25971845148662204,-0.2597184514866221,-0.25971845148662204,0.5305120796670684
new_cases_7day_avg,-0.2399426289113843,1.0,-0.7797054559151683,-0.4197926289631831,-0.605289074581172,0.3473715763181148,-0.03869579266886007,-0.3107669897561009,-0.31076698975610084,-0.31076698975610084,0.598283459441558
total_deaths,0.3051211905783401,-0.7797054559151683,1.0,0.829117072555479,0.585186308396174,0.2774345845578526,0.5252953341262228,-0.03034184047230233,-0.030341840472302376,-0.030341840472302387,-0.5814521117659963
new_deaths_7day_avg,0.6485972042165308,-0.4197926289631831,0.829117072555479,1.0,0.07028873553100395,0.4327962907818312,0.43137880710587967,-0.25754710497829686,-0.2575471049782969,-0.2575471049782969,-0.0674735140783318
death_rate,-0.5245822466641832,-0.605289074581172,0.585186308396174,0.07028873553100395,1.0,0.18376806821586342,0.5869369285029316,0.11770778238397396,0.11770778238397397,0.11770778238397396,-0.9999591119692406
cases_per_million,-0.1535999265344633,0.3473715763181148,0.2774345845578526,0.4327962907818312,0.18376806821586342,1.0,0.8837795212815543,-0.6059016890640381,-0.6059016890640381,-0.6059016890640383,-0.18985455363383572
deaths_per_million,-0.2535962545726174,-0.03869579266886007,0.5252953341262228,0.43137880710587967,0.5869369285029316,0.8837795212815543,1.0,-0.5638409788988149,-0.563840978898815,-0.563840978898815,-0.5910121432027889
vaccinated_share,-0.25971845148662204,-0.3107669897561009,-0.03034184047230233,-0.25754710497829686,0.11770778238397396,-0.6059016890640381,-0.5638409788988149,1.0,1.0,1.0,-0.11565972870656797
fully_vaccinated_share,-0.2597184514866221,-0.31076698975610084,-0.030341840472302376,-0.2575471049782969,0.11770778238397397,-0.6059016890640381,-0.563840978898815,1.0,1.0,1.0,-0.11565972870656797
booster_share,-0.25971845148662204,-0.31076698975610084,-0.030341840472302387,-0.2575471049782969,0.11770778238397396,-0.6059016890640383,-0.563840978898815,1.0,1.0,1.0,-0.115659728706568
recovery_rate_proxy,0.5305120796670684,0.598283459441558,-0.5814521117659963,-0.0674735140783318,-0.9999591119692406,-0.18985455363383572,-0.5910121432027889,-0.11565972870656797,-0.11565972870656797,-0.115659728706568,1.0
